Service,Port,Protocol,Description
unknown,45005,unknown,Unassigned
unknown,45006,unknown,Unassigned
unknown,45007,unknown,Unassigned
unknown,45008,unknown,Unassigned
unknown,45009,unknown,Unassigned
unknown,45010,unknown,Unassigned
unknown,45011,unknown,Unassigned
unknown,45012,unknown,Unassigned
unknown,45013,unknown,Unassigned
unknown,45014,unknown,Unassigned
unknown,45015,unknown,Unassigned
unknown,45016,unknown,Unassigned
unknown,45017,unknown,Unassigned
unknown,45018,unknown,Unassigned
unknown,45019,unknown,Unassigned
unknown,45020,unknown,Unassigned
unknown,45021,unknown,Unassigned
unknown,45022,unknown,Unassigned
unknown,45023,unknown,Unassigned
unknown,45024,unknown,Unassigned
unknown,45025,unknown,Unassigned
unknown,45026,unknown,Unassigned
unknown,45027,unknown,Unassigned
unknown,45028,unknown,Unassigned
unknown,45029,unknown,Unassigned
unknown,45030,unknown,Unassigned
unknown,45031,unknown,Unassigned
unknown,45032,unknown,Unassigned
unknown,45033,unknown,Unassigned
unknown,45034,unknown,Unassigned
unknown,45035,unknown,Unassigned
unknown,45036,unknown,Unassigned
unknown,45037,unknown,Unassigned
unknown,45038,unknown,Unassigned
unknown,45039,unknown,Unassigned
unknown,45040,unknown,Unassigned
unknown,45041,unknown,Unassigned
unknown,45042,unknown,Unassigned
unknown,45043,unknown,Unassigned
unknown,45044,unknown,Unassigned
synctest,45045,tcp,Remote application control protocol
unknown,45045,udp,Reserved
unknown,45046,unknown,Unassigned
unknown,45047,unknown,Unassigned
unknown,45048,unknown,Unassigned
unknown,45049,unknown,Unassigned
unknown,45050,unknown,Unassigned
unknown,45051,unknown,Unassigned
unknown,45052,unknown,Unassigned
unknown,45053,unknown,Unassigned
invision-ag,45054,tcp,InVision AG
invision-ag,45054,udp,InVision AG
unknown,45055,unknown,Unassigned
unknown,45056,unknown,Unassigned
unknown,45057,unknown,Unassigned
unknown,45058,unknown,Unassigned
unknown,45059,unknown,Unassigned
unknown,45060,unknown,Unassigned
unknown,45061,unknown,Unassigned
unknown,45062,unknown,Unassigned
unknown,45063,unknown,Unassigned
unknown,45064,unknown,Unassigned
unknown,45065,unknown,Unassigned
unknown,45066,unknown,Unassigned
unknown,45067,unknown,Unassigned
unknown,45068,unknown,Unassigned
unknown,45069,unknown,Unassigned
unknown,45070,unknown,Unassigned
unknown,45071,unknown,Unassigned
unknown,45072,unknown,Unassigned
unknown,45073,unknown,Unassigned
unknown,45074,unknown,Unassigned
unknown,45075,unknown,Unassigned
unknown,45076,unknown,Unassigned
unknown,45077,unknown,Unassigned
unknown,45078,unknown,Unassigned
unknown,45079,unknown,Unassigned
unknown,45080,unknown,Unassigned
unknown,45081,unknown,Unassigned
unknown,45082,unknown,Unassigned
unknown,45083,unknown,Unassigned
unknown,45084,unknown,Unassigned
unknown,45085,unknown,Unassigned
unknown,45086,unknown,Unassigned
unknown,45087,unknown,Unassigned
unknown,45088,unknown,Unassigned
unknown,45089,unknown,Unassigned
unknown,45090,unknown,Unassigned
unknown,45091,unknown,Unassigned
unknown,45092,unknown,Unassigned
unknown,45093,unknown,Unassigned
unknown,45094,unknown,Unassigned
unknown,45095,unknown,Unassigned
unknown,45096,unknown,Unassigned
unknown,45097,unknown,Unassigned
unknown,45098,unknown,Unassigned
unknown,45099,unknown,Unassigned
unknown,45100,unknown,Unassigned
unknown,45101,unknown,Unassigned
unknown,45102,unknown,Unassigned
unknown,45103,unknown,Unassigned
unknown,45104,unknown,Unassigned
unknown,45105,unknown,Unassigned
unknown,45106,unknown,Unassigned
unknown,45107,unknown,Unassigned
unknown,45108,unknown,Unassigned
unknown,45109,unknown,Unassigned
unknown,45110,unknown,Unassigned
unknown,45111,unknown,Unassigned
unknown,45112,unknown,Unassigned
unknown,45113,unknown,Unassigned
unknown,45114,unknown,Unassigned
unknown,45115,unknown,Unassigned
unknown,45116,unknown,Unassigned
unknown,45117,unknown,Unassigned
unknown,45118,unknown,Unassigned
unknown,45119,unknown,Unassigned
unknown,45120,unknown,Unassigned
unknown,45121,unknown,Unassigned
unknown,45122,unknown,Unassigned
unknown,45123,unknown,Unassigned
unknown,45124,unknown,Unassigned
unknown,45125,unknown,Unassigned
unknown,45126,unknown,Unassigned
unknown,45127,unknown,Unassigned
unknown,45128,unknown,Unassigned
unknown,45129,unknown,Unassigned
unknown,45130,unknown,Unassigned
unknown,45131,unknown,Unassigned
unknown,45132,unknown,Unassigned
unknown,45133,unknown,Unassigned
unknown,45134,unknown,Unassigned
unknown,45135,unknown,Unassigned
unknown,45136,unknown,Unassigned
unknown,45137,unknown,Unassigned
unknown,45138,unknown,Unassigned
unknown,45139,unknown,Unassigned
unknown,45140,unknown,Unassigned
unknown,45141,unknown,Unassigned
unknown,45142,unknown,Unassigned
unknown,45143,unknown,Unassigned
unknown,45144,unknown,Unassigned
unknown,45145,unknown,Unassigned
unknown,45146,unknown,Unassigned
unknown,45147,unknown,Unassigned
unknown,45148,unknown,Unassigned
unknown,45149,unknown,Unassigned
